model_name,feature_name,importance
logistic_regression,num__lap_count,2.1462352583324877
logistic_regression,num__std_lap_duration,1.153473508428804
logistic_regression,num__avg_pit_duration,1.0554516256033624
logistic_regression,num__early_avg_position,1.0512839567326688
logistic_regression,num__avg_air_temperature,0.8448484440852668
logistic_regression,num__pit_out_lap_count,0.8219963804547711
logistic_regression,num__avg_track_temperature,0.8088728608969726
logistic_regression,num__avg_first5_lap_duration,0.7971561658309418
logistic_regression,num__yellow_flag_count,0.7755559269315633
logistic_regression,num__pit_exit_message_count,0.7086032353702619
logistic_regression,num__race_control_message_count,0.6871666198148448
logistic_regression,num__median_lap_duration,0.6829396259131864
logistic_regression,num__flag_message_count,0.5634329305325133
logistic_regression,num__position_observation_count,0.5107328077018054
logistic_regression,num__std_first5_lap_duration,0.5049819950554417
logistic_regression,num__green_flag_count,0.5033350148041356
logistic_regression,num__early_max_position,0.49684444952852475
logistic_regression,num__early_min_position,0.44893160741311955
logistic_regression,num__safety_car_message_count,0.4305736869083039
logistic_regression,num__best_lap_duration,0.42491401177320914
logistic_regression,num__red_flag_count,0.4246985677268585
logistic_regression,num__avg_wind_speed,0.4195022380149531
logistic_regression,num__avg_i2_speed,0.41370433223277703
logistic_regression,num__rainfall_flag,0.37906932211670674
logistic_regression,num__min_pit_duration,0.3379936012014812
logistic_regression,num__avg_i1_speed,0.3332821459813597
logistic_regression,num__first_observed_position,0.3140191532357519
logistic_regression,num__first_pit_lap,0.3060982699921817
logistic_regression,num__avg_st_speed,0.26684756590713465
logistic_regression,num__avg_sector_1,0.18417953561123654
logistic_regression,num__best_first5_lap_duration,0.1538964551343011
logistic_regression,num__avg_humidity,0.07694376274103948
logistic_regression,num__max_pit_duration,0.07514812994883778
logistic_regression,num__early_pit_stop_flag,0.07425131599939266
logistic_regression,num__rainfall_mean,0.0715607030854269
logistic_regression,num__pit_stop_count,0.07061177671486095
logistic_regression,num__avg_pressure,0.06337889974135157
logistic_regression,num__avg_sector_3,0.06317704067614248
logistic_regression,num__avg_sector_2,0.056651801656453525
logistic_regression,num__avg_lap_duration,0.006671696603447395
random_forest,num__early_avg_position,0.1235652627324228
random_forest,num__early_min_position,0.09897557299328681
random_forest,num__early_max_position,0.09148068754853661
random_forest,num__first_observed_position,0.07704915771523983
random_forest,num__std_first5_lap_duration,0.04111759372850439
random_forest,num__lap_count,0.04071230156149507
random_forest,num__std_lap_duration,0.033819482819856576
random_forest,num__avg_sector_3,0.03143215280421477
random_forest,num__avg_lap_duration,0.03091036168002299
random_forest,num__avg_sector_2,0.030321644436444285
random_forest,num__avg_sector_1,0.027750735433718282
random_forest,num__median_lap_duration,0.02707107390231158
random_forest,num__avg_st_speed,0.02675020989566796
random_forest,num__best_first5_lap_duration,0.026035403729793655
random_forest,num__avg_first5_lap_duration,0.025194774790084928
random_forest,num__avg_i2_speed,0.024628651926096742
random_forest,num__best_lap_duration,0.024236157898687282
random_forest,num__first_pit_lap,0.02405557850670806
random_forest,num__avg_i1_speed,0.022912615523233874
random_forest,num__max_pit_duration,0.020267529308149335
random_forest,num__min_pit_duration,0.01931920373923041
random_forest,num__avg_pit_duration,0.018221593386558415
random_forest,num__avg_air_temperature,0.012279918283733572
random_forest,num__pit_out_lap_count,0.01088019564201576
random_forest,num__avg_wind_speed,0.010702444024779167
random_forest,num__race_control_message_count,0.00986170379009088
random_forest,num__avg_track_temperature,0.008639727213530337
random_forest,num__avg_humidity,0.008614080492788763
random_forest,num__flag_message_count,0.007645048570472315
random_forest,num__avg_pressure,0.007563590531925064
random_forest,num__yellow_flag_count,0.0074734901967307985
random_forest,num__safety_car_message_count,0.006861937480283682
random_forest,num__pit_stop_count,0.00600277657830902
random_forest,num__position_observation_count,0.004318270973954751
random_forest,num__pit_exit_message_count,0.0036296109591463497
random_forest,num__rainfall_mean,0.00294459981234783
random_forest,num__early_pit_stop_flag,0.0025887991854935317
random_forest,num__red_flag_count,0.0018561535671089927
random_forest,num__green_flag_count,0.001345612292667851
random_forest,num__rainfall_flag,0.0009642943443567077
lightgbm,num__std_lap_duration,375.0
lightgbm,num__avg_st_speed,313.0
lightgbm,num__avg_lap_duration,287.0
lightgbm,num__lap_count,254.0
lightgbm,num__early_avg_position,249.0
lightgbm,num__std_first5_lap_duration,242.0
lightgbm,num__avg_sector_3,232.0
lightgbm,num__early_max_position,203.0
lightgbm,num__avg_sector_2,199.0
lightgbm,num__best_first5_lap_duration,184.0
lightgbm,num__max_pit_duration,177.0
lightgbm,num__best_lap_duration,173.0
lightgbm,num__avg_sector_1,167.0
lightgbm,num__avg_i2_speed,161.0
lightgbm,num__avg_i1_speed,159.0
lightgbm,num__median_lap_duration,148.0
lightgbm,num__first_pit_lap,124.0
lightgbm,num__first_observed_position,110.0
lightgbm,num__avg_first5_lap_duration,109.0
lightgbm,num__avg_pit_duration,60.0
lightgbm,num__race_control_message_count,59.0
lightgbm,num__early_min_position,55.0
lightgbm,num__min_pit_duration,45.0
lightgbm,num__safety_car_message_count,42.0
lightgbm,num__avg_wind_speed,42.0
lightgbm,num__avg_air_temperature,34.0
lightgbm,num__avg_humidity,34.0
lightgbm,num__pit_stop_count,34.0
lightgbm,num__avg_track_temperature,32.0
lightgbm,num__avg_pressure,30.0
lightgbm,num__flag_message_count,26.0
lightgbm,num__pit_out_lap_count,25.0
lightgbm,num__yellow_flag_count,21.0
lightgbm,num__rainfall_mean,5.0
lightgbm,num__red_flag_count,3.0
lightgbm,num__position_observation_count,0.0
lightgbm,num__early_pit_stop_flag,0.0
lightgbm,num__rainfall_flag,0.0
lightgbm,num__green_flag_count,0.0
lightgbm,num__pit_exit_message_count,0.0
